file,volume
D:\\FINANCE PROJECTS\\DATASETS\\archive\CHOLAHLDNG_minute.csv,451225.62502615375
D:\\FINANCE PROJECTS\\DATASETS\\archive\CIPLA_minute.csv,5586182.292061341
D:\\FINANCE PROJECTS\\DATASETS\\archive\CLEAN_minute.csv,987340.3617950972
D:\\FINANCE PROJECTS\\DATASETS\\archive\COALINDIA_minute.csv,5475594.354646228
D:\\FINANCE PROJECTS\\DATASETS\\archive\COCHINSHIP_minute.csv,3996254.04660455
D:\\FINANCE PROJECTS\\DATASETS\\archive\COFORGE_minute.csv,4192516.5426056087
D:\\FINANCE PROJECTS\\DATASETS\\archive\COHANCE_minute.csv,690075.0932927952
D:\\FINANCE PROJECTS\\DATASETS\\archive\COLPAL_minute.csv,1960745.7921460844
D:\\FINANCE PROJECTS\\DATASETS\\archive\CONCORDBIO_minute.csv,862101.6789293805
D:\\FINANCE PROJECTS\\DATASETS\\archive\CONCOR_minute.csv,2275951.855589552
D:\\FINANCE PROJECTS\\DATASETS\\archive\COROMANDEL_minute.csv,5072451120468668.0
D:\\FINANCE PROJECTS\\DATASETS\\archive\CRAFTSMAN_minute.csv,615508.5359497798
D:\\FINANCE PROJECTS\\DATASETS\\archive\CREDITACC_minute.csv,987936.4302453406
D:\\FINANCE PROJECTS\\DATASETS\\archive\CRISIL_minute.csv,340942.00974083826
D:\\FINANCE PROJECTS\\DATASETS\\archive\CROMPTON_minute.csv,1469396.4287459685
D:\\FINANCE PROJECTS\\DATASETS\\archive\CUB_minute.csv,858286.8464231616
D:\\FINANCE PROJECTS\\DATASETS\\archive\CUMMINSIND_minute.csv,2348176.1337039135
D:\\FINANCE PROJECTS\\DATASETS\\archive\CYIENT_minute.csv,911186.5463441557
D:\\FINANCE PROJECTS\\DATASETS\\archive\DABUR_minute.csv,2692128.2789318636
D:\\FINANCE PROJECTS\\DATASETS\\archive\DALBHARAT_minute.csv,1301795.8853307527
D:\\FINANCE PROJECTS\\DATASETS\\archive\DATAPATTNS_minute.csv,2545758.192869874
D:\\FINANCE PROJECTS\\DATASETS\\archive\DBREALTY_minute.csv,446713.37382813595
D:\\FINANCE PROJECTS\\DATASETS\\archive\DCMSHRIRAM_minute.csv,281609.0222294162
D:\\FINANCE PROJECTS\\DATASETS\\archive\DEEPAKFERT_minute.csv,792050.3162291009
D:\\FINANCE PROJECTS\\DATASETS\\archive\DEEPAKNTR_minute.csv,1731797.0251345707
D:\\FINANCE PROJECTS\\DATASETS\\archive\DELHIVERY_minute.csv,2280090.06411816
D:\\FINANCE PROJECTS\\DATASETS\\archive\DEVYANI_minute.csv,1462751.2929784355
D:\\FINANCE PROJECTS\\DATASETS\\archive\DIVISLAB_minute.csv,4769447.73393136
D:\\FINANCE PROJECTS\\DATASETS\\archive\DIXON_minute.csv,5868685.482357488
D:\\FINANCE PROJECTS\\DATASETS\\archive\DLF_minute.csv,5703731.661288071
D:\\FINANCE PROJECTS\\DATASETS\\archive\DMART_minute.csv,4314597.207001266
D:\\FINANCE PROJECTS\\DATASETS\\archive\DOMS_minute.csv,1062100.9428155916
D:\\FINANCE PROJECTS\\DATASETS\\archive\DRREDDY_minute.csv,6709156.221543821
D:\\FINANCE PROJECTS\\DATASETS\\archive\ECLERX_minute.csv,364171.47632663295
D:\\FINANCE PROJECTS\\DATASETS\\archive\EICHERMOT_minute.csv,3802253.085865071
